timestamp,P2
2018-09-01 00:45:03.110,14.93
2018-09-01 00:45:25.198,17.85
2018-09-01 00:45:39.075,14.67
2018-09-01 00:46:15.060,15.0
2018-09-01 00:46:27.666,21.3
2018-09-01 00:46:38.288,9.63
2018-09-01 00:46:50.993,15.3
2018-09-01 00:47:27.079,14.8
2018-09-01 00:47:32.018,11.8
2018-09-01 00:47:55.319,18.42
2018-09-01 00:48:03.759,14.57
2018-09-01 00:48:39.574,15.03
2018-09-01 00:48:57.071,18.37
2018-09-01 00:49:08.945,9.5
2018-09-01 00:49:15.427,15.3
2018-09-01 00:49:51.327,14.5
2018-09-01 00:50:03.176,11.82
2018-09-01 00:50:25.433,17.5
2018-09-01 00:50:27.147,15.83
2018-09-01 00:51:03.307,15.43
2018-09-01 00:51:27.217,15.7
2018-09-01 00:51:39.327,13.93
2018-09-01 00:51:39.344,10.07
2018-09-01 00:52:15.170,16.0
2018-09-01 00:52:32.563,12.45
2018-09-01 00:52:51.012,14.8
2018-09-01 00:52:55.345,17.48
2018-09-01 00:53:26.855,14.73
2018-09-01 00:53:56.546,14.77
2018-09-01 00:54:02.848,14.0
2018-09-01 00:54:09.703,11.07
2018-09-01 00:54:38.898,14.7
2018-09-01 00:55:03.016,11.7
2018-09-01 00:55:14.737,15.8
2018-09-01 00:55:25.189,18.3
2018-09-01 00:55:50.736,14.0
2018-09-01 00:56:26.715,14.37
2018-09-01 00:56:26.720,13.93
2018-09-01 00:56:40.066,9.53
2018-09-01 00:57:02.602,14.8
2018-09-01 00:57:32.727,13.82
2018-09-01 00:57:38.414,14.43
2018-09-01 00:57:55.272,18.0
2018-09-01 00:58:14.278,14.47
2018-09-01 00:58:50.112,15.2
2018-09-01 00:58:56.225,20.2
2018-09-01 00:59:10.538,10.1
2018-09-01 00:59:26.028,14.03
2018-09-01 01:00:01.942,13.67
2018-09-01 01:00:02.201,13.13
2018-09-01 01:00:24.992,17.15
2018-09-01 01:00:37.843,14.27
2018-09-01 01:01:13.668,14.3
2018-09-01 01:01:25.624,21.2
2018-09-01 01:01:40.868,9.57
2018-09-01 01:01:49.579,15.03
2018-09-01 01:02:25.332,13.6
